
DESKTOP-A45RBB8 (Client)	Fri Jan 27 10:41:37 2017
	XNET error: Server shutdown detected


NOTEBOOK-RONDS (Client)	Fri Nov 24 16:54:01 2017
	INET/inet_error: connect errno = 10060


NOTEBOOK-RONDS (Client)	Fri Nov 24 16:54:24 2017
	INET/inet_error: connect errno = 10060


NOTEBOOK-RONDS (Client)	Fri Nov 24 17:00:00 2017
	INET/inet_error: connect errno = 10060


NOTEBOOK-RONDS (Client)	Fri Nov 24 17:00:23 2017
	INET/inet_error: connect errno = 10060


NOTEBOOK-RONDS (Client)	Fri Nov 24 17:01:26 2017
	INET/inet_error: connect errno = 10060


NOTEBOOK-RONDS (Client)	Fri Nov 24 17:01:49 2017
	INET/inet_error: connect errno = 10060

